Conference,Super Division,Division,Franchise,Code,Primary Color,Secondary Color,Photo URL
Blue,North,Arctic,Foxes,FOX,#ea6409,#ffffff,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Foxes.png
Blue,North,Arctic,Puffins,PUF,#ec2c0d,#9bf9ff,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Puffins.png
Blue,North,Arctic,Sabres,SAB,#f36a22,#111111,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Sabres.png
Blue,North,Arctic,Tyrants,TYR,#98012e,#c4a87d,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Tyrants.png
Blue,North,Mystic,Comets,COM,#2db4e3,#f6518d,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Comets.png
Blue,North,Mystic,Eclipse,ECL,#261447,#ff6c11,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Eclipse.png
Blue,North,Mystic,Spectre,SPE,#58427c,#4dcf74,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Spectre.png
Blue,North,Mystic,Wizards,WIZ,#0066b2,#fdb927,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Wizards.png
Blue,South,Sky,Aviators,AVI,#006847,#b7b7b7,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Aviators.png
Blue,South,Sky,Hive,HIVE,#ffa000,#111111,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Hive.png
Blue,South,Sky,Hurricanes,HUR,#005030,#f47321,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Hurricanes.png
Blue,South,Sky,Jets,JETS,#0a2b58,#c7102e,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Jets.png
Blue,South,Storm,Blizzard,BLI,#385470,#a3bad2,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Blizzard.png
Blue,South,Storm,Lightning,LIT,#002868,#ffffff,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Lightning.png
Blue,South,Storm,Shadow,SHD,#333739,#d3bc8d,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Shadow.png
Blue,South,Storm,Wolves,WOL,#8ebae3,#221c35,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Wolves.png
Orange,East,Forge,Express,EXP,#00254c,#eeb311,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Express.png
Orange,East,Forge,Knights,KNI,#b20000,#8e8e8e,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Knights.png
Orange,East,Forge,Outlaws,OUT,#981821,#231c09,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Outlaws.png
Orange,East,Forge,Spartans,SPA,#7b1515,#ffb612,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Spartans.png
Orange,East,Sun,Bears,BEA,#62b6fe,#030029,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Bears.png
Orange,East,Sun,Bulls,BUL,#c30000,#111111,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Bulls.png
Orange,East,Sun,Pandas,PAN,#006100,#111111,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Pandas.png
Orange,East,Sun,Rhinos,RHI,#7d7d7d,#d9d9d9,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Rhinos.png
Orange,West,Tropic,Ducks,DUC,#00788c,#ffd100,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Ducks.png
Orange,West,Tropic,Hawks,HAW,#c30000,#0199b5,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Hawks.png
Orange,West,Tropic,Pirates,PIR,#333739,#ffffff,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Pirates.png
Orange,West,Tropic,Sharks,SHA,#329393,#f36a24,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Sharks.png
Orange,West,Volcanic,Demolition,DEM,#148c32,#fdc622,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Demo.png
Orange,West,Volcanic,Dodgers,DOD,#041e42,#e7e9ea,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Dodgers.png
Orange,West,Volcanic,Elite,ELI,#572a84,#ea9300,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Elite.png
Orange,West,Volcanic,Flames,FLA,#c92a06,#f6c432,https://mle-images.sfo3.cdn.digitaloceanspaces.com/team-logos/Flames.png
